"cell_type","gene_set","n_EX_total","n_EX_not_DR","n_EX_and_DR","n_DREX_unique"
"mySC","Mouse_all",1337,835,502,327
"mySC","Overlap_MS",18,8,10,6
"mySC","Overlap_All3",3,1,2,0
"nmSC","Mouse_all",242,227,15,189
"nmSC","Overlap_MS",1,1,0,8
"ImmSC","Mouse_all",240,221,19,375
"ImmSC","Overlap_MS",4,3,1,5
"ImmSC","Overlap_All3",1,1,0,1
"majorSC","Mouse_all",2371,1743,628,561
"majorSC","Overlap_MS",37,22,15,5
"majorSC","Overlap_All3",11,7,4,0
"aggSC","Mouse_all",1600,1029,571,563
"aggSC","Overlap_MS",20,9,11,10
"aggSC","Overlap_All3",3,1,2,0
